seccion_nro,distrito_nro,seccion_name,distrito_name
1,1,COMUNA 1,Capital Federal
10,1,COMUNA 10,Capital Federal
11,1,COMUNA 11,Capital Federal
12,1,COMUNA 12,Capital Federal
13,1,COMUNA 13,Capital Federal
14,1,COMUNA 14,Capital Federal
15,1,COMUNA 15,Capital Federal
2,1,COMUNA 2,Capital Federal
3,1,COMUNA 3,Capital Federal
4,1,COMUNA 4,Capital Federal
5,1,COMUNA 5,Capital Federal
6,1,COMUNA 6,Capital Federal
7,1,COMUNA 7,Capital Federal
8,1,COMUNA 8,Capital Federal
9,1,COMUNA 9,Capital Federal
1,2,ADOLFO ALSINA,Buenos Aires
10,2,ARRECIFES,Buenos Aires
100,2,SALLIQUELO,Buenos Aires
101,2,SALTO,Buenos Aires
102,2,SAN ANDRES DE GILES,Buenos Aires
103,2,SAN ANTONIO DE ARECO,Buenos Aires
104,2,SAN CAYETANO,Buenos Aires
105,2,SAN FERNANDO,Buenos Aires
106,2,SAN ISIDRO,Buenos Aires
107,2,SAN NICOLAS,Buenos Aires
108,2,SAN PEDRO,Buenos Aires
109,2,SAN VICENTE,Buenos Aires
11,2,BERAZATEGUI,Buenos Aires
110,2,SUIPACHA,Buenos Aires
111,2,TANDIL,Buenos Aires
112,2,TAPALQUE,Buenos Aires
113,2,TIGRE,Buenos Aires
114,2,TORNQUIST,Buenos Aires
115,2,TRENQUE LAUQUEN,Buenos Aires
116,2,TORDILLO,Buenos Aires
117,2,TRES ARROYOS,Buenos Aires
118,2,TRES DE FEBRERO,Buenos Aires
119,2,LA COSTA,Buenos Aires
12,2,BERISSO,Buenos Aires
120,2,MONTE HERMOSO,Buenos Aires
121,2,VEINTICINCO DE MAYO,Buenos Aires
122,2,VICENTE LOPEZ,Buenos Aires
123,2,VILLA GESELL,Buenos Aires
124,2,VILLARINO,Buenos Aires
125,2,ZARATE,Buenos Aires
126,2,TRES LOMAS,Buenos Aires
127,2,FLORENTINO AMEGHINO,Buenos Aires
128,2,PRESIDENTE PERON,Buenos Aires
129,2,JOSE C. PAZ,Buenos Aires
13,2,BOLIVAR,Buenos Aires
130,2,MALVINAS ARGENTINAS,Buenos Aires
131,2,PUNTA INDIO,Buenos Aires
132,2,EZEIZA,Buenos Aires
133,2,ITUZAINGO,Buenos Aires
134,2,HURLINGHAM,Buenos Aires
135,2,LEZAMA,Buenos Aires
14,2,BRAGADO,Buenos Aires
15,2,BRANDSEN,Buenos Aires
16,2,CAMPANA,Buenos Aires
17,2,CAÑUELAS,Buenos Aires
18,2,CAPITAN SARMIENTO,Buenos Aires
19,2,CARLOS CASARES,Buenos Aires
2,2,ALBERTI,Buenos Aires
20,2,CARLOS TEJEDOR,Buenos Aires
21,2,CARMEN DE ARECO,Buenos Aires
22,2,PATAGONES,Buenos Aires
23,2,CASTELLI,Buenos Aires
24,2,COLON,Buenos Aires
25,2,CORONEL DORREGO,Buenos Aires
26,2,CORONEL PRINGLES,Buenos Aires
27,2,CORONEL DE MARINA L. ROSALES,Buenos Aires
28,2,CORONEL SUAREZ,Buenos Aires
29,2,CHACABUCO,Buenos Aires
3,2,ALMIRANTE BROWN,Buenos Aires
30,2,CHASCOMUS,Buenos Aires
31,2,CHIVILCOY,Buenos Aires
32,2,DAIREAUX,Buenos Aires
33,2,DOLORES,Buenos Aires
34,2,ENSENADA,Buenos Aires
35,2,ESCOBAR,Buenos Aires
36,2,ESTEBAN ECHEVERRIA,Buenos Aires
37,2,EXALTACION DE LA CRUZ,Buenos Aires
38,2,FLORENCIO VARELA,Buenos Aires
39,2,GENERAL ALVARADO,Buenos Aires
4,2,AVELLANEDA,Buenos Aires
40,2,GENERAL ALVEAR,Buenos Aires
41,2,GENERAL ARENALES,Buenos Aires
42,2,GENERAL BELGRANO,Buenos Aires
43,2,GENERAL GUIDO,Buenos Aires
44,2,GENERAL LAMADRID,Buenos Aires
45,2,GENERAL LAS HERAS,Buenos Aires
46,2,GENERAL LAVALLE,Buenos Aires
47,2,GENERAL JUAN MADARIAGA,Buenos Aires
48,2,GENERAL PAZ,Buenos Aires
49,2,GENERAL PINTO,Buenos Aires
5,2,AYACUCHO,Buenos Aires
50,2,GENERAL PUEYRREDON,Buenos Aires
51,2,GENERAL RODRIGUEZ,Buenos Aires
52,2,GENERAL SAN MARTIN,Buenos Aires
53,2,SAN MIGUEL,Buenos Aires
54,2,GENERAL VIAMONTE,Buenos Aires
55,2,GENERAL VILLEGAS,Buenos Aires
56,2,ADOLFO GONZALES CHAVES,Buenos Aires
57,2,GUAMINI,Buenos Aires
58,2,HIPOLITO YRIGOYEN,Buenos Aires
59,2,BENITO JUAREZ,Buenos Aires
6,2,AZUL,Buenos Aires
60,2,JUNIN,Buenos Aires
61,2,LA MATANZA,Buenos Aires
62,2,LANUS,Buenos Aires
63,2,LA PLATA,Buenos Aires
64,2,LAPRIDA,Buenos Aires
65,2,LAS FLORES,Buenos Aires
66,2,LEANDRO N. ALEM,Buenos Aires
67,2,LINCOLN,Buenos Aires
68,2,LOBERIA,Buenos Aires
69,2,LOBOS,Buenos Aires
7,2,BAHIA BLANCA,Buenos Aires
70,2,LOMAS DE ZAMORA,Buenos Aires
71,2,LUJAN,Buenos Aires
72,2,MAGDALENA,Buenos Aires
73,2,MAIPU,Buenos Aires
74,2,MAR CHIQUITA,Buenos Aires
75,2,MARCOS PAZ,Buenos Aires
76,2,MERCEDES,Buenos Aires
77,2,MERLO,Buenos Aires
78,2,MONTE,Buenos Aires
79,2,MORENO,Buenos Aires
8,2,BALCARCE,Buenos Aires
80,2,MORON,Buenos Aires
81,2,NAVARRO,Buenos Aires
82,2,NECOCHEA,Buenos Aires
